Library	LibraryQC_Code	CellTypeQC_Part
JP_RIK_B001_L001	DRAGEN	Part_1
JP_RIK_B002_L001	DRAGEN	Part_1
JP_RIK_B002_L002	DRAGEN	Part_1
JP_RIK_B003_L001	DRAGEN	Part_1
JP_RIK_B003_L002	DRAGEN	Part_1
JP_RIK_B004_L001	DRAGEN	Part_1
JP_RIK_B004_L002	DRAGEN	Part_1
JP_RIK_B005_L001	DRAGEN	Part_2
JP_RIK_B005_L002	DRAGEN	Part_2
JP_RIK_B006_L001	DRAGEN	Part_2
JP_RIK_B006_L002	DRAGEN	Part_2
JP_RIK_B007_L001	DRAGEN	Part_2
JP_RIK_B007_L002	DRAGEN	Part_2
JP_RIK_B008_L001	DRAGEN	Part_3
JP_RIK_B008_L002	DRAGEN	Part_3
JP_RIK_B009_L001	DRAGEN	Part_3
JP_RIK_B009_L002	DRAGEN	Part_3
JP_RIK_B010_L001	DRAGEN	Part_3
JP_RIK_B010_L002	DRAGEN	Part_3
KR_SGI_B002_L001	DRAGEN	Part_1
KR_SGI_B002_L002	DRAGEN	Part_1
KR_SGI_B003_L001	DRAGEN	Part_1
KR_SGI_B003_L002	DRAGEN	Part_1
KR_SGI_B004_L001	DRAGEN	Part_1
KR_SGI_B004_L002	DRAGEN	Part_1
KR_SGI_B005_L001	DRAGEN	Part_1
KR_SGI_B005_L002	DRAGEN	Part_2
KR_SGI_B006_L001	DRAGEN	Part_2
KR_SGI_B006_L002	DRAGEN	Part_2
KR_SGI_B007_L001	DRAGEN	Part_2
KR_SGI_B007_L002	DRAGEN	Part_2
KR_SGI_B008_L001	DRAGEN	Part_2
KR_SGI_B008_L002	DRAGEN	Part_2
KR_SGI_B009_L001	DRAGEN	Part_2
KR_SGI_B009_L002	DRAGEN	Part_3
KR_SGI_B010_L001	DRAGEN	Part_3
KR_SGI_B010_L002	DRAGEN	Part_3
KR_SGI_B011_L001	DRAGEN	Part_3
KR_SGI_B011_L002	DRAGEN	Part_3
KR_SGI_B012_L001	DRAGEN	Part_3
KR_SGI_B012_L002	DRAGEN	Part_3
SG_HEL_B001_L001	DRAGEN	Part_1
SG_HEL_B001_L002	DRAGEN	Part_1
SG_HEL_B003_L001	DRAGEN	Part_1
SG_HEL_B003_L002	DRAGEN	Part_1
SG_HEL_B004_L001	DRAGEN	Part_1
SG_HEL_B004_L002	DRAGEN	Part_1
SG_HEL_B005_L001	DRAGEN	Part_1
SG_HEL_B005_L002	DRAGEN	Part_1
SG_HEL_B006_L001	DRAGEN	Part_1
SG_HEL_B006_L002	DRAGEN	Part_1
SG_HEL_B007_L001	DRAGEN	Part_1
SG_HEL_B007_L002	DRAGEN	Part_1
SG_HEL_B008_L001	DRAGEN	Part_1
SG_HEL_B008_L002	DRAGEN	Part_2
SG_HEL_B009_L001	DRAGEN	Part_2
SG_HEL_B009_L002	DRAGEN	Part_2
SG_HEL_B010_L001	DRAGEN	Part_2
SG_HEL_B010_L002	DRAGEN	Part_2
SG_HEL_B011_L001	DRAGEN	Part_2
SG_HEL_B012_L001	DRAGEN	Part_2
SG_HEL_B012_L002	DRAGEN	Part_2
SG_HEL_B013_L001	DRAGEN	Part_2
SG_HEL_B013_L002	DRAGEN	Part_2
SG_HEL_B014_L001	DRAGEN	Part_2
SG_HEL_B014_L002	DRAGEN	Part_2
SG_HEL_B015_L001	DRAGEN	Part_2
SG_HEL_B015_L002	DRAGEN	Part_3
SG_HEL_B016_L001	DRAGEN	Part_3
SG_HEL_B016_L002	DRAGEN	Part_3
SG_HEL_B017_L001	DRAGEN	Part_3
SG_HEL_B017_L002	DRAGEN	Part_3
SG_HEL_B018_L001	DRAGEN	Part_3
SG_HEL_B018_L002	DRAGEN	Part_3
SG_HEL_B019_L001	DRAGEN	Part_3
SG_HEL_B019_L002	DRAGEN	Part_3
SG_HEL_B020_L001	Freemuxlet	Part_3
SG_HEL_B020_L002	Freemuxlet	Part_3
SG_HEL_B021_L002	DRAGEN	Part_3
SG_HEL_B023_L002	DRAGEN	Part_3
SG_HEL_B024_L002	DRAGEN	Part_3
TH_MAH_B001_L001	DRAGEN	Part_1
TH_MAH_B001_L002	DRAGEN	Part_1
TH_MAH_B002_L001	DRAGEN	Part_1
TH_MAH_B002_L002	DRAGEN	Part_2
TH_MAH_B003_L001	DRAGEN	Part_2
TH_MAH_B003_L002	DRAGEN	Part_2
TH_MAH_B004_L001	DRAGEN	Part_3
TH_MAH_B004_L002	DRAGEN	Part_3
IN_NIB_B001_L001	CellRanger	IN_NIB
IN_NIB_B001_L002	CellRanger	IN_NIB
IN_NIB_B002_L001	CellRanger	IN_NIB
IN_NIB_B002_L002	CellRanger	IN_NIB
